English,Persian
you,شما
i,من
the,را
to,به
a,الف
s,س
it,آن را
and,و
that,که
t,تی
of,از
is,است
in,در
what,چی
we,ما
me,من
this,این
he,او
for,برای
my,من
on,در
have,دارند
your,شما
do,انجام دهید
was,بود
m,متر
no,نه
not,نه
be,باشد
are,هستند
don,دان
re,دوباره
know,دانستن
can,می تواند
with,با
but,اما
all,همه
so,بنابراین
just,فقط
there,وجود دارد
here,اینجا
they,آنها
like,مانند
ll,ll
get,دریافت کنید
she,او
go,برو
if,اگر
right,درست است
out,بیرون
about,در مورد
up,بالا
at,در
him,او
now,اکنون
oh,اوه
one,یکی
come,بیا
well,خوب
her,او
how,چگونه
yeah,بله
ve,ve
will,خواهد شد
got,گرفت
want,خواستن
think,فکر کن
as,به عنوان
see,ببینید
did,انجام داد
good,خوب
who,سازمان بهداشت جهانی
why,چرا
from,از
let,اجازه دهید
his,او
yes,بله
when,چه زمانی
going,رفتن
time,زمان
an,یک
okay,باشه
back,برگشت
look,نگاه کن
us,ما
would,خواهد شد
them,آنها را
where,کجا
were,بودند
take,گرفتن
then,سپس
had,داشت
or,یا
been,بوده است
our,ما
gonna,قرار است
tell,بگو
really,واقعا
man,مرد
some,برخی
say,بگو
hey,سلام
could,توانست
d,د
didn,انجام داد
by,توسط
need,نیاز دارند
something,چیزی
has,دارد
too,بیش از حد
more,بیشتر
way,راه
down,پایین
make,ساختن
very,بسیار
never,هرگز
only,فقط
people,مردم
over,تمام
because,چون
little,کمی
please,لطفا
love,عشق
should,باید
mean,معنی
said,گفت
sorry,متاسفم
give,دادن
off,خاموش
am,هستم
thank,تشکر
any,هر
two,دو
even,حتی
much,بسیار
doing,انجام دادن
sure,مطمئن
thing,چیز
these,اینها
help,کمک کند
first,اول
into,به
anything,هر چیزی
still,هنوز
find,پیدا کردن
life,زندگی
nothing,هیچ چیز
sir,آقا
day,روز
god,خدا
work,کار کردن
their,آنها
uh,اوه
again,دوباره
maybe,شاید
must,باید
before,قبل از
other,دیگر
wait,صبر کن
stop,توقف
